	POLY-SINGLE		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1.464844	*	*	*
2.929688	*	*	*
4.394531	*	*	*
5.859375	*	*	*
7.324219	*	*	*
8.789063	*	*	*
10.253906	*	*	*
11.718750	*	*	*
13.183594	*	*	*
14.648438	*	*	*
16.113281	*	*	*
17.578125	*	*	*
19.042969	*	*	*
20.507813	*	*	*
21.972656	*	*	*
23.437500	*	*	*
24.902344	*	*	*
26.367188	*	*	*
27.832031	*	*	*
29.296875	*	*	*
30.761719	*	*	*
32.226563	*	*	*
33.691406	*	*	*
35.156250	*	*	*
36.621094	*	*	*
38.085938	*	*	*
39.550781	*	*	*
41.015625	*	*	*
42.480469	*	*	*
43.945313	*	*	*
45.410156	*	*	*
46.875000	*	*	*
48.339844	*	*	*
49.804688	*	*	*
51.269531	*	*	*
52.734375	*	*	*
54.199219	*	*	*
55.664063	*	*	*
57.128906	*	*	*
58.593750	*	*	*
60.058594	*	*	*
61.523438	*	*	*
62.988281	*	*	*
64.453125	*	*	*
65.917969	*	*	*
67.382813	*	*	*
68.847656	*	*	*
70.312500	*	*	*
71.777344	*	*	*
73.242188	*	*	*
74.707031	*	*	*
76.171875	*	*	*
77.636719	*	*	*
79.101563	*	*	*
80.566406	*	*	*
82.031250	*	*	*
83.496094	*	*	*
84.960938	*	*	*
86.425781	*	*	*
87.890625	*	*	*
89.355469	26.50	-2.08	0.94
90.820313	26.07	-2.32	1.00
92.285156	25.12	-2.58	0.98
93.750000	25.09	0.00	0.98
95.214844	25.80	4.72	0.91
96.679688	28.31	10.88	0.94
98.144531	26.57	8.44	0.95
99.609375	24.02	6.66	0.97
101.074219	25.80	8.40	0.97
102.539063	25.51	2.71	0.92
104.003906	25.68	-0.97	0.92
105.468750	24.70	0.55	0.97
106.933594	25.84	-0.24	0.97
108.398438	26.71	1.51	0.97
109.863281	27.06	-7.01	0.94
111.328125	26.14	-11.59	0.99
112.792969	26.87	-12.28	0.94
114.257813	26.76	-9.88	0.94
115.722656	26.28	-6.90	0.90
117.187500	26.27	-11.55	0.93
118.652344	26.30	-15.40	0.96
120.117188	26.02	-16.03	0.96
121.582031	26.52	-14.04	0.96
123.046875	26.51	-10.18	0.90
124.511719	26.85	-15.67	0.94
125.976563	27.41	-20.85	0.98
127.441406	27.38	-18.37	0.96
128.906250	27.06	-20.14	0.95
130.371094	26.98	-24.14	0.97
